"Molecule","Molecule name","Atom count","Bond count"
"O[C@@H]1CNCCO1","ZINC000035572083",16,16
"CN1CCN[C@@H]2CS(=O)(=O)C[C@H]12","ZINC000222300793",26,27
"CN1CCN[C@H](CO)C1","ZINC000039077826",23,23
"CN1CCN[C@@H](CO)C1","ZINC000039077819",23,23
"OCc1nn[nH]n1","ZINC000039307421",11,11
"NC(=O)C1(O)CNC1","ZINC000140060494",16,16
"C[C@@H]1CNC[C@@H](O1)C(N)=O","ZINC000075109814",22,22
"C[C@@H]1CNC[C@H](O1)C(N)=O","ZINC000075109816",22,22
"CNC(=O)NC[C@@H]1COCCN1","ZINC000234360768",27,27
"C[N@@H+]1CCNC[C@@H]1C(O)=O","ZINC000089223304",22,22
"C[N@H+]1CCNC[C@@H]1C(O)=O","ZINC000089223304",22,22
"C[N@@H+]1CCNC[C@H]1C(O)=O","ZINC000089223309",22,22
"C[N@H+]1CCNC[C@H]1C(O)=O","ZINC000089223309",22,22
"CN1C[C@H](N)C(=O)N1","ZINC000090225658",17,17
"CN1C[C@@H](N)C(=O)N1","ZINC000090225659",17,17
"NCc1nnc2n1cc[nH]c2=O","ZINC000409422482",19,20
"OC(=O)[C@@H]1C[C@@H](C[NH2+]1)c1nn[nH]n1","ZINC000095122995",22,23
"CNC1(CO)COC1","ZINC000095630847",19,19
"OC[C@H]1N[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O","ZINC000100052912",28,28
"CN(C)CCN(C)S(N)(=O)=O","ZINC000098210169",26,25
"C[C@]1(CNCCO1)C(=O)NCCO","ZINC000019686436",29,29
"C[C@@]1(CNCCO1)C(=O)NCCO","ZINC000019686438",29,29
"[NH3+]Cc1cc(=O)[nH][nH]1","ZINC000100648806",15,15
"OC[C@H](O)[C@@H]1CNCCO1","ZINC000584883063",23,23
"Cn1ccn2c(CN)nnc2c1=O","ZINC000584883699",22,23
"OC1(CC[NH2+]CC1)c1nn[nH]n1","ZINC000170617745",23,24
"OCCN[C@H]1CS(=O)(=O)C[C@H]1O","ZINC000001771809",25,25
"CNC(=O)NC[C@H]1COCCN1","ZINC000234361121",27,27
"Cn1nncc1C1(O)CNC1","ZINC000127972776",21,22
"Nc1n[nH]c(NCCO)n1","ZINC000085420714",19,19
"COC[C@@H](N)C(=O)N1CCOCC1","ZINC000088002119",29,29
"COC[C@H](N)C(=O)N1CCOCC1","ZINC000088002118",29,29
"CN1CCN[C@H]2CS(=O)(=O)C[C@@H]12","ZINC000253495920",26,27
"CNC(=O)[C@@H](N)[C@@H](C)O","ZINC000001510568",21,20
"CNC(=O)[C@@H](N)[C@H](C)O","ZINC000001510567",21,20
"CNC(=O)[C@H](N)[C@@H](C)O","ZINC000001510573",21,20
"NCC(=O)CN","ZINC000001558643",14,13
"Nc1nn2c(nc(O)cc2=O)[nH]1","ZINC000108299344",17,18
"C[N@@H+]1CCNC(=O)[C@@H]1CC(O)=O","ZINC000001926703",24,24
"C[N@H+]1CCNC(=O)[C@@H]1CC(O)=O","ZINC000001926703",24,24
"C[N@@H+]1CCNC(=O)[C@H]1CC(O)=O","ZINC000001926701",24,24
"C[N@H+]1CCNC(=O)[C@H]1CC(O)=O","ZINC000001926701",24,24
"CNC(=O)[C@H](N)[C@H](C)O","ZINC000001510570",21,20
"CNC(=O)[C@H]1CNCCO1","ZINC000019686010",22,22
"CNC(=O)[C@H]1CCCN1C(=O)CN","ZINC000037826628",28,28
"C[C@H](NC(=O)CN)C(N)=O","ZINC000002556603",21,20
"CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO","ZINC000003795332",27,27
"CC(C)NC(=O)C(=O)N1CCNCC1","ZINC000004219193",31,31
"C[C@H](O)[C@@H](N)C(N)=O","ZINC000004761897",18,17
"C[C@H](O)[C@H](N)C(N)=O","ZINC000004761890",18,17
"NCC(=O)CC[NH3+]","ZINC000001690288",18,17
"NCC(C[NH3+])(CO)CO","ZINC000001851479",24,23
"C[NH2+]C[C@@H](O)CN1CCN(C)CC1","ZINC000019685184",35,35
"[NH3+]CCC(=O)N1CCNCC1","ZINC000002528760",27,27
"C[NH2+]C[C@H](O)CN1CCN(C)CC1","ZINC000019685185",35,35
"[NH3+]C1CNC1","ZINC000019361604",14,14
"CN(C)CC(=O)N1CC[NH2+]CC1","ZINC000019685367",30,30
"CN1CC(=O)N2CC[NH2+]C[C@@H]2C1=O","ZINC000014743731",27,28
"C[NH2+][C@@H]1[C@H](O)[C@H](CO)O[C@@H]1CN","ZINC000078931392",29,29
"CN(C)C[C@@H](O)C[NH3+]","ZINC000019255181",23,22
"CN(C)C[C@H](O)C[NH3+]","ZINC000019255182",23,22
"N[C@]12C[N@@]3C[N@](C1)C[C@@]([NH3+])(C3)C2","ZINC000019300018",29,31
"CN1CCN(C[C@@H](O)C[NH3+])CC1","ZINC000019685136",32,32
"CN1CCN(C[C@H](O)C[NH3+])CC1","ZINC000019685137",32,32
"C[NH+]1CCN(CC1)[C@H]1CC(=O)NC1=O","ZINC000019881969",30,31
"COC[C@@H](N)C1(O)C[NH2+]C1","ZINC000958528648",25,25
"COC[C@H](N)C1(O)C[NH2+]C1","ZINC000958528657",25,25
"Cn1nnc(C(N)=[NH2+])c1N","ZINC000104643595",19,19
"Cn1nnc(C[NH3+])n1","ZINC000034155590",16,16
"C[NH+]1CCN(CC1)C(=O)CO","ZINC000020356306",26,26
"CN1CC(=O)N2CC[NH2+]C[C@H]2C1=O","ZINC000020504927",27,28
"COC(=O)[C@@H](CN)C[NH3+]","ZINC000077031869",22,21
"OCc1nnn2CC[NH2+]Cc12","ZINC000024565392",22,23
"COC(=O)CN1CC[NH2+][C@@H](C)C1=O","ZINC000019089411",28,28
"COC(=O)CN1CC[NH2+]CC1=O","ZINC000019089424",25,25
"COC(=O)CN1CC[NH2+][C@H](C)C1=O","ZINC000019089415",28,28
"C(N1CC[NH2+]CC1)c1nn[nH]n1","ZINC000042191865",25,26
"OC1(C[NH2+]C1)c1c[nH]nn1","ZINC000306208885",19,20
"O[C@@H]1CC[N@H+]2C[C@H](O)[C@H](O)[C@@H](O)[C@@H]12","ZINC000038283349",29,30
